frame,class,conf,cx,cy,w,h
0,0,0.7325315475463867,0.5217992067337036,0.6415241360664368,0.6766771078109741,0.716063916683197
1,0,0.8439421057701111,0.519344687461853,0.6424798369407654,0.6667078733444214,0.7143697142601013
2,0,0.9140912294387817,0.5213266015052795,0.642516553401947,0.6717144846916199,0.7143136262893677
3,0,0.911638617515564,0.521682620048523,0.6424986720085144,0.6738133430480957,0.7142112851142883
4,0,0.8972006440162659,0.5208950638771057,0.6432545781135559,0.6729696989059448,0.7126474976539612
5,0,0.9162892699241638,0.5210381746292114,0.6429263353347778,0.6846895217895508,0.7124107480049133
6,0,0.9153773784637451,0.5217974781990051,0.6407536864280701,0.6688483953475952,0.7154764533042908
7,0,0.9140822887420654,0.5209929347038269,0.6424621343612671,0.6850429773330688,0.7135358452796936
8,0,0.9146296381950378,0.5235768556594849,0.642562985420227,0.6722528338432312,0.713765561580658
9,0,0.9159849882125854,0.5216529369354248,0.6421887278556824,0.6840435862541199,0.713214635848999
10,0,0.9107232093811035,0.5215192437171936,0.6425849199295044,0.6843411326408386,0.7126248478889465
11,0,0.9176798462867737,0.5215550065040588,0.6424001455307007,0.6853888630867004,0.7128069400787354
12,0,0.9105696082115173,0.5218567252159119,0.642674446105957,0.6849948167800903,0.7127913236618042
13,0,0.9143955111503601,0.5217677354812622,0.6424933671951294,0.6849614381790161,0.7127273678779602
14,0,0.9148611426353455,0.5221665501594543,0.6418269872665405,0.6839298009872437,0.7141026854515076
15,0,0.9185956120491028,0.5227472186088562,0.6411571502685547,0.6836795806884766,0.7157119512557983
16,0,0.9193136096000671,0.5220494866371155,0.641076922416687,0.6851874589920044,0.7158105373382568
17,0,0.9086544513702393,0.5213609337806702,0.6376380920410156,0.6655556559562683,0.7221887111663818
18,0,0.8864151835441589,0.5207551717758179,0.6382685303688049,0.6650124788284302,0.7208791375160217
19,0,0.8959517478942871,0.5215460062026978,0.6359089612960815,0.6663432121276855,0.725659966468811
20,0,0.9101942777633667,0.5208870768547058,0.6355088949203491,0.6669923663139343,0.7262803316116333
21,0,0.9032931327819824,0.5220702886581421,0.6343581676483154,0.6696470379829407,0.7289355993270874
22,0,0.9129047989845276,0.5206775665283203,0.633759081363678,0.6660703420639038,0.7299112677574158
23,0,0.9086822867393494,0.5238975286483765,0.6324933767318726,0.6700112223625183,0.7326890230178833
24,0,0.9021058082580566,0.5237990617752075,0.6309263706207275,0.669187068939209,0.7356806397438049
25,0,0.8895528316497803,0.5239929556846619,0.6227830052375793,0.6686075925827026,0.7527422308921814
26,0,0.8950489163398743,0.5246228575706482,0.622982382774353,0.6692191362380981,0.7523851990699768
27,0,0.8819891810417175,0.5238932371139526,0.6241645216941833,0.6682615280151367,0.7500152587890625
28,0,0.9008874297142029,0.5226967930793762,0.6296225190162659,0.6641328930854797,0.7384566068649292
29,0,0.9030746221542358,0.5227712392807007,0.6297905445098877,0.6616877317428589,0.7380077242851257
30,0,0.915292501449585,0.5240904688835144,0.6289020776748657,0.6655340194702148,0.7398124933242798
31,0,0.9065344333648682,0.5239503979682922,0.6242340803146362,0.670479953289032,0.7504404783248901
32,0,0.9062676429748535,0.5256204605102539,0.629217803478241,0.6647003293037415,0.7392798066139221
33,0,0.9057164192199707,0.5262709259986877,0.6242746710777283,0.6693055033683777,0.7502171993255615
34,0,0.9009254574775696,0.5281747579574585,0.6235947012901306,0.6693757176399231,0.7509530186653137
35,0,0.9020464420318604,0.5275834202766418,0.6243119835853577,0.6684820055961609,0.7500587701797485
